theta,deltaG,MI,RUPTURE
0.7193467336683417,-4872.765684548642,620603.015075377,True
0.7238693467336683,-5032.505526230472,624120.6030150754,True
0.728391959798995,-5195.369505754786,627638.1909547738,True
0.7329145728643216,-5360.8317188033625,631155.7788944724,True
0.7374371859296482,-5528.357871098249,634673.3668341709,True
0.7419597989949749,-5697.407003692201,638190.9547738694,True
0.7464824120603015,-5867.4332397800445,641708.5427135678,True
0.7510050251256282,-6037.887547390245,645226.1306532663,True
0.7555276381909548,-6208.219512264885,648743.7185929648,True
0.7600502512562815,-6377.879115203151,652261.3065326633,True
0.7645728643216081,-6546.318508129171,655778.8944723618,True
0.7690954773869347,-6712.993783149024,659296.4824120603,True
0.7736180904522614,-6877.366728884544,662814.0703517587,True
0.7781407035175879,-7038.90656841247,666331.6582914572,True
0.7826633165829145,-7197.091673197023,669849.2462311558,True
0.7871859296482412,-7351.411247481345,673366.8341708543,True
0.7917085427135678,-7501.366977698879,676884.4221105528,True
0.7962311557788945,-7646.474641578415,680402.0100502513,True
0.8007537688442211,-7786.265671746955,683919.5979899497,True
0.8052763819095478,-7920.2886687813225,687437.1859296482,True
0.8097989949748744,-8048.110858822694,690954.7738693467,True
0.814321608040201,-8169.319491047334,694472.3618090452,True
0.8188442211055277,-8283.523170480861,697989.9497487437,True
0.8233668341708543,-8390.353121852368,701507.5376884422,True
0.827889447236181,-8489.464380407178,705025.1256281406,True
0.8324120603015075,-8580.536905833063,708542.7135678392,True
0.8369346733668341,-8663.27661570288,712060.3015075377,True
0.8414572864321608,-8737.41633509658,715577.8894472362,True
0.8459798994974874,-8802.716659336127,719095.4773869347,True
0.8505025125628141,-8858.966727047518,722613.0653266332,True
0.8550251256281407,-8905.984901053544,726130.6532663316,True
0.8595477386934673,-8943.619354898674,729648.2412060301,True
0.864070351758794,-8971.748563112093,733165.8291457286,True
0.8685929648241206,-8990.28169362577,736683.4170854271,False
0.8731155778894473,-8999.158901080435,740201.0050251256,False
0.8776381909547739,-8998.351520072305,743718.592964824,False
0.8821608040201006,-8987.862157716594,747236.1809045227,False
0.8866834170854272,-8967.72468522887,750753.7688442211,False
0.8912060301507537,-8938.004128551456,754271.3567839196,False
0.8957286432160804,-8898.796458378067,757788.9447236181,False
0.900251256281407,-8850.228280254705,761306.5326633166,False
0.9047738693467337,-8792.456425757498,764824.1206030151,False
0.9092964824120603,-8725.667446067626,768341.7085427135,False
0.9138190954773869,-8650.07700957862,771859.296482412,False
0.9183417085427136,-8565.929205481236,775376.8844221105,False
0.9228643216080402,-8473.495755574691,778894.472361809,False
0.9273869346733669,-8373.075136849387,782412.0603015075,False
0.9319095477386935,-8264.991617674435,785929.6482412061,False
0.9364321608040201,-8149.594210702154,789447.2361809046,False
0.9409547738693468,-8027.255545870825,792964.824120603,False
0.9454773869346734,-7898.370667144794,796482.4120603015,False
0.95,-7763.35575687742,800000.0,False
